10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3
31,38,61,34,40,50,35,30,54,41,33,51,30,34,55,37.0,6.0,2.0,15,23
58,49,63,50,44,51,62,43,59,4,1,0,4,0,2,0.0,1.0,2.0,29,41
32,43,68,29,41,63,40,49,56,39,64,66,72,39,64,58.0,25.0,87.0,20,32
55,46,74,56,40,50,53,67,68,65,65,74,75,66,74,88.0,27.0,59.0,34,41
79,74,82,75,66,74,72,65,82,65,74,82,68,64,75,73.0,31.0,86.0,40,47
62,50,68,57,25,64,50,53,62,46,58,58,84,30,63,62.0,33.0,82.0,18,30
65,62,75,61,50,79,51,61,71,53,50,67,85,46,66,63.0,37.0,61.0,19,33
56,36,75,56,43,77,61,58,71,58,70,72,77,62,76,74.0,40.0,92.0,32,40
64,63,82,63,61,63,56,44,81,58,48,79,60,54,78,58.0,40.0,74.0,19,33
76,53,85,77,45,81,69,61,81,62,74,78,90,50,72,76.0,43.0,86.0,20,35
59,60,88,58,58,78,51,46,73,54,49,70,81,50,70,72.0,59.0,85.0,37,41
64,63,77,54,42,73,40,49,68,39,41,66,79,45,69,62.0,58.0,60.0,28,33
73,46,76,70,49,65,68,44,76,68,45,77,75,40,77,82.0,62.0,81.0,39,46
79,62,80,77,61,80,61,61,76,61,47,76,95,60,69,78.0,62.0,85.0,23,35
78,44,83,77,47,75,71,53,73,70,70,77,81,73,76,89.0,60.0,86.0,32,45
93,50,84,92,61,78,93,63,79,91,65,78,83,63,85,91.0,62.0,78.0,34,48
79,54,77,73,53,70,69,63,76,71,70,72,93,59,72,87.0,62.0,74.0,42,49
84,54,88,78,56,79,73,58,81,66,49,83,90,70,86,92.0,62.0,86.0,47,53
58,64,71,59,59,66,60,69,67,64,63,71,84,68,73,77.0,62.0,87.0,34,47
60,46,66,59,53,63,61,51,72,64,66,72,86,76,80,89.0,65.0,78.0,37,52
67,53,80,69,51,74,76,65,79,76,72,75,77,72,73,90.0,72.0,85.0,33,47
75,62,84,77,74,84,86,75,83,83,76,83,83,82,80,92.0,69.0,83.0,37,52
