10ASub1,10ASub2,10ASub3,10BSub1,10BSub2,10BSub3,11ASub1,11ASub2,11ASub3,11BSub1,11BSub2,11BSub3,12ASub1,12ASub2,12ASub3,12BSub1,12BSub2,12BSub3,TestNG3,TestSG3,學校,入學管道
31,38,61,34,40,50,35,30,54,41,33,51,30,34,55,37,6,2,15,23,-,-
58,49,63,50,44,51,62,43,59,4,1,0,4,0,2,0,1,2,29,41,國立臺灣師範大學,考試分發
32,43,68,29,41,63,40,49,56,39,64,66,72,39,64,58,25,87,20,32,銘傳大學,考試分發
55,46,74,56,40,50,53,67,68,65,65,74,75,66,74,88,27,59,34,41,國立臺灣師範大學,考試分發
79,74,82,75,66,74,72,65,82,65,74,82,68,64,75,73,31,86,40,47,國立成功大學,個人申請
62,50,68,57,25,64,50,53,62,46,58,58,84,30,63,62,33,82,18,30,國立臺南藝術大學,個人申請
65,62,75,61,50,79,51,61,71,53,50,67,85,46,66,63,37,61,19,33,逢甲大學,個人申請
56,36,75,56,43,77,61,58,71,58,70,72,77,62,76,74,40,92,32,40,國立臺南大學,考試分發
64,63,82,63,61,63,56,44,81,58,48,79,60,54,78,58,40,74,19,33,國立臺南大學,考試分發
76,53,85,77,45,81,69,61,81,62,74,78,90,50,72,76,43,86,20,35,國立屏東大學,個人申請
59,60,88,58,58,78,51,46,73,54,49,70,81,50,70,72,59,85,37,41,國立中正大學,考試分發
64,63,77,54,42,73,40,49,68,39,41,66,79,45,69,62,58,60,28,33,國立東華大學,個人申請
73,46,76,70,49,65,68,44,76,68,45,77,75,40,77,82,62,81,39,46,國立清華大學,個人申請
79,62,80,77,61,80,61,61,76,61,47,76,95,60,69,78,62,85,23,35,國立臺南大學,考試分發
78,44,83,77,47,75,71,53,73,70,70,77,81,73,76,89,60,86,32,45,國立暨南國際大學,考試分發
93,50,84,92,61,78,93,63,79,91,65,78,83,63,85,91,62,78,34,48,國立臺灣大學,個人申請
79,54,77,73,53,70,69,63,76,71,70,72,93,59,72,87,62,74,42,49,國立臺灣海洋大學,個人申請
84,54,88,78,56,79,73,58,81,66,49,83,90,70,86,92,62,86,47,53,國立臺灣大學,個人申請
58,64,71,59,59,66,60,69,67,64,63,71,84,68,73,77,62,87,34,47,國立政治大學,考試分發
60,46,66,59,53,63,61,51,72,64,66,72,86,76,80,89,65,78,37,52,國立臺灣大學,考試分發
67,53,80,69,51,74,76,65,79,76,72,75,77,72,73,90,72,85,33,47,國立成功大學,考試分發
75,62,84,77,74,84,86,75,83,83,76,83,83,82,80,92,69,83,37,52,國立臺北大學,個人申請
57,74,68,62,73,69,41,43,75,2,67,0,84,61,62,67,71,79,27,40,國立臺北教育大學,個人申請
51,46,77,54,49,67,39,74,76,47,77,70,81,59,69,65,77,83,24,36,國立臺東大學,個人申請
88,61,85,89,58,79,85,80,78,83,77,82,97,80,81,96,75,90,39,53,國立政治大學,個人申請
69,69,75,62,61,64,63,66,66,68,79,74,69,69,72,81,81,87,33,47,國立臺北大學,考試分發
83,85,77,81,70,54,74,79,57,74,78,70,94,77,77,81,85,2,39,51,國立政治大學,考試分發
66,72,79,71,61,78,72,69,79,76,72,79,86,79,78,86,86,89,35,48,國立政治大學,考試分發
68,64,75,71,57,68,73,65,79,69,67,76,80,73,77,84,89,92,37,50,國立政治大學,個人申請
86,66,86,82,61,81,88,84,86,83,87,82,89,72,85,93,88,85,32,47,國立中正大學,個人申請
79,78,83,73,80,80,82,77,85,77,80,85,80,85,84,94,92,87,38,53,國立政治大學,繁星推薦
90,77,87,88,81,83,92,76,90,85,74,86,83,82,87,91,89,83,36,50,國立臺北藝術大學,繁星推薦
59,69,78,63,69,67,69,68,78,74,86,68,96,87,76,80,93,87,45,50,國立政治大學,個人申請
84,84,82,87,77,76,90,83,76,89,82,81,74,86,80,97,98,81,48,52,國立臺灣大學,考試分發
62,60,82,71,56,73,82,63,60,69,55,63,72,51,70,82,14,41,25,36,-,-
60,40,43,61,60,39,50,43,45,45,47,43,23,29,31,23,23,8,21,27,-,-
64,51,84,62,53,81,62,44,68,62,62,60,81,46,65,74,29,64,24,38,-,-
33,37,60,39,43,58,43,41,57,32,42,44,1,32,41,60,28,61,13,22,-,-
50,37,64,50,43,70,33,58,51,32,59,47,61,46,60,20,36,34,27,39,國立臺南大學,考試分發
50,53,86,58,48,79,61,42,74,59,47,76,73,42,76,86,39,86,26,40,國立臺灣師範大學,考試分發
51,41,66,44,34,46,35,44,42,31,45,37,77,31,51,59,42,67,12,22,國立東華大學,考試分發
60,50,74,59,42,69,54,43,52,48,45,47,74,42,57,34,41,48,21,33,國立高雄師範大學,考試分發
70,61,80,68,55,68,81,60,67,78,58,73,73,66,77,91,48,64,38,52,國立政治大學,考試分發
80,45,77,73,50,70,85,39,69,76,44,67,75,58,63,91,50,85,27,39,輔仁大學,個人申請
68,52,79,65,56,78,68,54,76,71,69,76,92,46,80,87,55,91,26,39,東吳大學,考試分發
56,64,76,48,52,66,48,55,67,52,53,64,77,61,56,62,41,61,24,36,國立臺南大學,考試分發
51,62,73,58,62,67,63,62,66,69,64,57,65,62,66,31,62,80,33,44,東吳大學,考試分發
