編號,地段位置或門牌,社區簡稱,交易日期,總價(萬元),單價(萬元/坪),總面積(坪),主建物佔比,型態,屋齡,樓別/樓高,主要用途,交易標的,交易筆棟數,建物現況格局,車位總價(萬元),管理組織,電梯,備註,,
1,東區東門路三段２９３號三樓之６,太子鎮第一,113/06/04,500,3.7,134.42,34.34%,住宅大樓(11層含以上有電梯),28,三層/十六層,辦公用,房地(土地+建物)+車位,土:1 建物:3 車位:5,,,有,有,"台南市東區東門路三段293號3樓之5   不動產總價：150萬								
台南市東區東門路三段293號3樓之6   不動產總價：150萬								
台南市東區東門路三段293號3樓之7   不動產總價：100萬								
台南市東區東門路三段293號地下一、二、三層含5個車位，每個車位價格20萬親友、員工、共有人或其他特殊關係間之交易;",,
2,東區中華東路二段１６７號六樓之１７,摩根168大樓,113/06/06,300,21.8,13.76,58.45%,住宅大樓(11層含以上有電梯),16,六層/十四層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1衛,,有,有,,,
3,東區崇善十一街５２號四樓之２,文化特區,113/06/06,557,15.3,36.48,70.69%,住宅大樓(11層含以上有電梯),25,四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,4房2廳3衛,,有,有,,,
4,東區崇善十一街５２號四樓之３,文化特區,113/06/06,443,15.3,29.02,71.28%,住宅大樓(11層含以上有電梯),25,四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳3衛,,有,有,,,
5,東區崇善五街７巷２１號四樓,太子文化,113/06/12,920,38.3,24.02,71.26%,住宅大樓(11層含以上有電梯),18,四層/十三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房2廳1衛,,有,有,,,
6,東區光華街１９９之１６號,,113/06/03,680,20.9,32.57,94.59%,公寓(5樓含以下無電梯),35,"一層,二層,夾層/五層",住家用,建物,土:0 建物:1 車位:0,2房3廳3衛,,有,無,土地為仁愛之家所有;建物坐落地號：龍泉段805地號;,,
7,東區勝利路５０號三樓之１０,大國學苑,113/06/04,255,31.6,8.07,60.37%,華廈(10層含以下有電梯),30,三層/八層,住家用,房地(土地+建物),土:3 建物:1 車位:0,1房1衛,,有,有,,,
8,東區建東街１３號三樓,,113/06/01,455,28.2,16.11,63.27%,華廈(10層含以下有電梯),30,三層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,1房1廳1衛,,無,有,,,
9,東區崇明路２６６巷１號六樓之２,崇明天廈大樓,113/06/01,910,25.6,35.61,68.20%,住宅大樓(11層含以上有電梯),30,六層/十五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
10,東區林森路一段１５３巷２７弄１１號九樓,曼哈頓,113/06/01,"1,200",20.3,58.98,80.74%,住宅大樓(11層含以上有電梯),32,九層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
11,東區怡東路６６號四樓,,113/05/13,244,8.3,29.38,76.66%,公寓(5樓含以下無電梯),40,四層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房1廳2衛,,有,無,親友、員工、共有人或其他特殊關係間之交易;,,
12,東區長榮路一段２４６號七樓,皇后大道大樓,113/05/16,480,11.9,54.59,74.88%,住宅大樓(11層含以上有電梯),30,七層/十二層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,2房2廳2衛,30,有,有,親友、員工、共有人或其他特殊關係間之交易;陽台外推;瑕疵物件;,,
13,東區裕學路６９號,,113/05/05,800,16.5,48.38,68.76%,華廈(10層含以下有電梯),33,一層/七層,商業用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,買方另付土地增值稅73103元，契稅24330元，皆由買方負擔親友、員工、共有人或其他特殊關係間之交易;,,
14,東區崇善路８０４號,,113/05/06,"1,613",,62.85,,透天厝,37,全/四層,住商用,房地(土地+建物),土:1 建物:1 車位:0,4房4衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;陽台外推;頂樓加蓋;其他增建;,,
15,東區長榮路一段８３號八樓,ALL IN ONE,113/05/06,"4,765",36.4,130.92,59.93%,住宅大樓(11層含以上有電梯),13,八層/十五層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:2,3房2廳2衛,,有,有,,,
16,東區大同路一段１４１巷５５之５號四樓,大同京都大樓,113/05/01,555,19.4,28.57,66.75%,華廈(10層含以下有電梯),29,四層/七層,住家用,房地(土地+建物),土:5 建物:1 車位:0,2房2廳2衛,,有,有,,,
17,東區仁和路９３之１號四樓之２,南雲金都,113/05/10,"1,150",25.3,45.49,56.54%,華廈(10層含以下有電梯),30,四層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
18,東區東門路二段２９７號十三樓,高青皇第,113/05/27,"1,321",16.8,78.66,58.95%,住宅大樓(11層含以上有電梯),32,十三層/十四層,商業用,房地(土地+建物)+車位,土:3 建物:1 車位:1,,,有,有,,,
19,東區長東街７９巷３號,,113/05/24,240.66,,30.63,,透天厝,48,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;,,
20,東區崇善路８３５巷７號,,113/05/13,"1,136",,27.05,,透天厝,45,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
21,東區東光路二段８２巷２號三樓,東光佳園,113/05/17,900,29.2,30.87,59.97%,華廈(10層含以下有電梯),28,三層/九層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
22,東區裕豐街８４巷４５之４號,,113/05/18,460,13.4,34.35,84.36%,華廈(10層含以下有電梯),43,五層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,3房2廳2衛,,無,有,,,
23,東區裕農路１１５號,,113/05/19,"1,350",,32.00,,透天厝,57,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,其他增建;,,
24,東區中華東路二段１８５巷１６號四樓之３,鄉城陽光鎮,113/05/18,950,22.9,41.49,54.92%,住宅大樓(11層含以上有電梯),29,四層/二十層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,3房2廳1衛,,有,有,,,
25,東區自由路二段１７５巷１３號十三樓,好富新境,113/05/18,"1,390",24.7,56.38,66.74%,住宅大樓(11層含以上有電梯),27,十三層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
26,東區富農街一段２０７之２號,,113/05/17,482,15.3,31.59,77.40%,公寓(5樓含以下無電梯),42,三層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,4房1廳1衛,,無,無,,,
27,東區東門路一段３３２號,,113/05/30,"1,200",,48.63,,透天厝,51,全/三層,住商用,房地(土地+建物),土:2 建物:1 車位:0,4房1廳3衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;未登記建物;未登記建物;,,
28,東區崇善七街５４號,,113/05/20,705,20,35.21,70.54%,華廈(10層含以下有電梯),31,一層/六層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房1廳3衛,,無,有,,,
29,東區府連路２６０巷７號,,113/05/27,"1,176",,31.10,,透天厝,46,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳3衛,,無,無,頂樓加蓋;其他增建;,,
30,東區崇明六街７９號,,113/05/19,"1,700",,51.84,,透天厝,37,全/三層,住家用,房地(土地+建物),土:2 建物:1 車位:0,7房2廳3衛,,無,無,陽台外推;頂樓加蓋;其他增建;,,
31,東區府東街２０４號,,113/05/30,450,,40.72,,透天厝,47,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房3廳3衛,,無,無,祖孫間買賣部分申報贈與稅親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;,,
32,東區勝利路２０之９號二樓,,113/05/16,625,20.7,30.16,75.39%,公寓(5樓含以下無電梯),40,二層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,無,無,,,
33,東區德高街８６號七樓,富奕天下,113/05/25,510,15.3,33.31,67.83%,華廈(10層含以下有電梯),31,七層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
34,東區前鋒路８７號二樓之２,,113/05/09,450,13.4,33.47,64.96%,華廈(10層含以下有電梯),40,二層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳1衛,,無,有,,,
35,東區崇元一街６號七樓之２,,113/05/03,"1,740",36.6,47.52,56.22%,住宅大樓(11層含以上有電梯),1,七層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
36,東區文化二街９１號六樓之２,,113/05/10,"1,638",37.3,50.67,59.22%,住宅大樓(11層含以上有電梯),,六層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,199,有,有,"建物第一次登記後移轉,預售屋、或土地及建物分件登記案件;",,
37,東區文化二街９１號九樓之６,,113/05/13,"1,653",39,48.66,59.10%,住宅大樓(11層含以上有電梯),,九層/十五層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,211,有,有,"建物第一次登記後移轉,預售屋、或土地及建物分件登記案件;",,
38,東區德昌路７７號四樓之３,樂高NO2,113/05/19,720,32.4,22.22,62.56%,華廈(10層含以下有電梯),5,四層/七層,住家用,房地(土地+建物),土:1 建物:1 車位:0,2房1廳2衛,,有,有,,,
39,東區崇德路８９２號,,113/05/13,"2,580",44.9,58.47,58.70%,住宅大樓(11層含以上有電梯),1,"一層,見其他登記事項/十四層",住商用,房地(土地+建物)+車位,土:1 建物:1 車位:1,,160,有,有,,,
40,東區德東街１５１巷３７弄３號,,113/05/25,430,18.3,23.47,74.56%,華廈(10層含以下有電梯),29,一層/八層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房1廳2衛,,有,有,陽台外推;,,
41,東區東門路三段２５３號七樓之３,百利通商大樓,113/05/09,840,14.5,57.95,72.66%,住宅大樓(11層含以上有電梯),34,七層/十二層,商業用,房地(土地+建物),土:1 建物:1 車位:0,,,有,有,陽台外推;,,
42,東區東門路三段１７９巷５２號,,113/05/03,870,,27.26,,透天厝,49,全/二層,住家用,房地(土地+建物),土:2 建物:1 車位:0,5房3廳3衛,,無,無,,,
43,東區長榮路一段９號十二樓之２,澄品觀邸大樓,113/05/18,"1,765",30.8,57.37,48.29%,住宅大樓(11層含以上有電梯),13,十二層/十四層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:1,3房2廳2衛,,有,有,,,
44,東區大同路二段９５號七樓之１,億載金城,113/05/10,800,19.3,41.43,41.47%,住宅大樓(11層含以上有電梯),29,七層/十六層,住家用,房地(土地+建物)+車位,土:3 建物:1 車位:1,2房2廳1衛,,有,有,(包含)公共設施保留地(用地);,,
45,東區崇明九街２２號,,113/05/26,"1,830",,37.85,,透天厝,37,全/三層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳3衛,,無,無,其他增建;,,
46,東區仁東街９７之１號五樓之１,,113/05/08,"1,260",41.5,30.37,71.02%,華廈(10層含以下有電梯),1,五層/五層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
47,東區莊敬路１９１號,,113/05/15,"1,000",,52.26,,透天厝,43,全/四層,住家用,房地(土地+建物),土:1 建物:1 車位:0,4房2廳2衛,,無,無,親友、員工、共有人或其他特殊關係間之交易;頂樓加蓋;其他增建;,,
48,東區裕豐街１８５巷１２弄１４號五樓之３,,113/05/16,370,18.3,20.18,66.74%,公寓(5樓含以下無電梯),30,五層/五層,住家用,房地(土地+建物),土:2 建物:1 車位:0,2房2廳1衛,,無,無,,,
49,東區仁東街１９號十四樓之８,鄉城大鎮,113/05/23,638,26.3,24.24,70.46%,住宅大樓(11層含以上有電梯),25,十四層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳1衛,,有,有,其他增建;,,
50,東區崇善路２５巷９２號八樓,帝心,113/05/03,"1,210",31.6,38.31,50.87%,住宅大樓(11層含以上有電梯),14,八層/十四層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,3房2廳2衛,,有,有,,,
51,東區裕豐街１８５巷１７弄１４號,,113/05/24,418,,22.09,,透天厝,51,全/二層,住家用,房地(土地+建物),土:1 建物:1 車位:0,5房2廳2衛,,無,無,頂樓加蓋;其他增建;,,
52,東區崇善東路１５巷７之２號五樓,東方瑞士,113/05/11,700,21.6,32.43,70.82%,華廈(10層含以下有電梯),24,五層/八層,住家用,房地(土地+建物),土:1 建物:1 車位:0,3房2廳2衛,,有,有,,,
53,東區大同路一段２４１巷３號,皇普文苑,113/05/20,"1,880",29,64.78,64.11%,住宅大樓(11層含以上有電梯),3,一層/十五層,住家用,房地(土地+建物)+車位,土:2 建物:1 車位:2,2房2廳2衛,,有,有,,,
54,東區中華東路三段３８５號七樓之２,文化新世紀,113/05/10,"1,255",21.3,58.91,74.96%,住宅大樓(11層含以上有電梯),23,"七層,八層/二十層",住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,陽台外推;,,
55,東區裕農路２７號之８八樓,鄉城漢唐,113/05/16,780,20.8,37.43,56.76%,住宅大樓(11層含以上有電梯),30,八層/十三層,住家用,房地(土地+建物)+車位,土:1 建物:1 車位:1,2房2廳2衛,,有,有,,,
