ID,Gd,Md,Dd,Ed,SE,AI,CI,LA,LAT,CH,PA,LS
TNFSH1002,M,No,0,Graduate,No,5849,0,,360,1,Urban,Y
TNFSH1003,Male,Yes,1,Graduate,No,4583,1508,128,360,1,Rural,N
TNFSH1005,Male,Yes,0,Graduate,Yes,3000,0,66,360,1,Urban,Y
TNFSH1006,Male,Yes,0,Not Graduate,No,2583,2358,120,360,1,Urban,Y
TNFSH1008,Male,No,0,Graduate,No,6000,0,141,360,1,Urban,Y
TNFSH1011,Male,Yes,2,Graduate,Yes,5417,4196,267,360,1,Urban,Y
TNFSH1013,Male,Yes,0,Not Graduate,No,2333,1516,95,360,1,Urban,Y
TNFSH1014,Male,Yes,3+,Graduate,No,3036,2504,158,360,0,Semiurban,N
TNFSH1018,Male,Yes,2,Graduate,No,4006,1526,168,360,1,Urban,Y
TNFSH1020,Male,Yes,1,Graduate,No,12841,10968,349,360,1,Semiurban,N
TNFSH1024,Male,Yes,2,Graduate,No,3200,700,70,360,1,Urban,Y
TNFSH1027,Male,Yes,2,Graduate,,2500,1840,109,360,1,Urban,Y
TNFSH1028,Male,Yes,2,Graduate,No,3073,8106,200,360,1,Urban,Y
TNFSH1029,Male,No,0,Graduate,No,1853,2840,114,360,1,Rural,N
TNFSH1030,Male,Yes,2,Graduate,No,1299,1086,17,120,1,Urban,Y
TNFSH1032,Male,No,0,Graduate,No,4950,0,125,360,1,Urban,Y
TNFSH1034,Male,No,1,Not Graduate,No,3596,0,100,240,,Urban,Y
TNFSH1036,Female,No,0,Graduate,No,3510,0,76,360,0,Urban,N
TNFSH1038,Male,Yes,0,Not Graduate,No,4887,0,133,360,1,Rural,N
TNFSH1041,Male,Yes,0,Graduate,,2600,3500,115,,1,Urban,Y
TNFSH1043,Male,Yes,0,Not Graduate,No,7660,0,104,360,0,Urban,N
TNFSH1046,Male,Yes,1,Graduate,No,5955,5625,315,360,1,Urban,Y
TNFSH1047,Male,Yes,0,Not Graduate,No,2600,1911,116,360,0,Semiurban,N
TNFSH1050,,Yes,2,Not Graduate,No,3365,1917,112,360,0,Rural,N
TNFSH1052,Male,Yes,1,Graduate,,3717,2925,151,360,,Semiurban,N
TNFSH1066,Male,Yes,0,Graduate,Yes,9560,0,191,360,1,Semiurban,Y
TNFSH1068,Male,Yes,0,Graduate,No,2799,2253,122,360,1,Semiurban,Y
TNFSH1073,Male,Yes,2,Not Graduate,No,4226,1040,110,360,1,Urban,Y
TNFSH1086,Male,No,0,Not Graduate,No,1442,0,35,360,1,Urban,N
TNFSH1087,Female,No,2,Graduate,,3750,2083,120,360,1,Semiurban,Y
TNFSH1091,Male,Yes,1,Graduate,,4166,3369,201,360,,Urban,N
TNFSH1095,Male,No,0,Graduate,No,3167,0,74,360,1,Urban,N
TNFSH1097,Male,No,1,Graduate,Yes,4692,0,106,360,1,Rural,N
TNFSH1098,Male,Yes,0,Graduate,No,3500,1667,114,360,1,Semiurban,Y
